"New"	"English"	"On’yomi"
"絵"	"picture"	"カイ, エ, kai, e"
"絶"	"discontinue"	"ゼツ, zetsu"
"絹"	"silk"	"ケン, ken"
"継"	"inherit"	"ケイ, kee"
"続"	"continue"	"ゾク, zoku"
"維"	"fiber"	"イ, i"
"綱"	"hawser"	"コウ, koo"
"網"	"netting"	"モウ, moo"
"綿"	"cotton"	"メン, men"
"緊"	"tense"	"キン, kin"
"総"	"whole"	"ソウ, soo"
"緑"	"green"	"リョク, ロク, ryoku, roku"
"緒"	"thong"	"ショ, チョ, sho, cho"
"線"	"line"	"セン, sen"
"締"	"tighten"	"テイ, tee"
"編"	"compile"	"ヘン, hen"
"緩"	"slacken"	"カン, kan"
"緯"	"horizontal"	"イ, i"
"練"	"practice"	"レン, ren"
"縁"	"affinity"	"エン, en"
"縄"	"straw rope"	"ジョウ, joo"
"縛"	"truss"	"バク, baku"
"縦"	"vertical"	"ジュウ, juu"
"縫"	"sew"	"ホウ, hoo"
"縮"	"shrink"	"シュク, shuku"
"績"	"exploits"	"セキ, seki"
"繁"	"luxuriant"	"ハン, han"
"繊"	"slender"	"セン, sen"
"織"	"weave"	"ショク, シキ, shoku, shiki"
"繕"	"darning"	"ゼン, zen"
"繭"	"cocoon"	"ケン, ken"
"繰"	"winding"	
"缶"	"tin can"	"カン, kan"
"罪"	"guilt"	"ザイ, zai"
"置"	"put"	"チ, chi"
"罰"	"penalty"	"バツ, バチ, batsu, bachi"
"署"	"government office"	"ショ, sho"
"罷"	"quit"	"ヒ, hi"
"羅"	"gauze"	"ラ, ra"
"羊"	"sheep"	"ヨウ, yoo"
"美"	"beauty"	"ビ, bi"
"群"	"flock"	"グン, gun"
"義"	"righteousness"	"ギ, gi"
"羽"	"feather"	"ウ, u"
"翁"	"venerable old man"	"オウ, oo"
"翌"	"next"	"ヨク, yoku"
"習"	"learn"	"シュウ, shuu"
"翻"	"flip"	"ホン, hon"
"翼"	"wing"	"ヨク, yoku"
"老"	"old man"	"ロウ, roo"
"考"	"think"	"コウ, koo"
"者"	"someone"	"シャ, sha"
"耐"	"resistant"	"タイ, tai"
"耕"	"till"	"コウ, koo"
"耗"	"decrease"	"モウ, コウ, moo, koo"
"耳"	"ear"	"ジ, ji"
"聖"	"holy"	"セイ, see"
"聞"	"hear"	"ブン, モン, bun, mon"
"聴"	"listen"	"チョウ, choo"
"職"	"employment"	"ショク, shoku"
"肉"	"meat"	"ニク, niku"
"肌"	"texture"	
"肖"	"resemblance"	"ショウ, shoo"
"肝"	"liver"	"カン, kan"
"肢"	"limb"	"シ, shi"
"肥"	"fertilizer"	"ヒ, hi"
"肩"	"shoulder"	"ケン, ken"
"肪"	"obese"	"ボウ, boo"
"肯"	"agreement"	"コウ, koo"
"育"	"nurture"	"イク, iku"
"肺"	"lungs"	"ハイ, hai"
"胃"	"stomach"	"イ, i"
"胆"	"gall bladder"	"タン, tan"
"背"	"back"	"ハイ, hai"
"胎"	"womb"	"タイ, tai"
"胞"	"placenta"	"ホウ, hoo"
"胴"	"trunk"	"ドウ, doo"
"胸"	"breast"	"キョウ, kyoo"
"能"	"ability"	"ノウ, noo"
"脂"	"fat"	"シ, shi"
"脅"	"threaten"	"キョウ, kyoo"
"脈"	"vein"	"ミャク, myaku"
"脚"	"leg"	"キャク, キャ, kyaku, kya"
"脱"	"undress"	"ダツ, datsu"
"脳"	"brain"	"ノウ, noo"
"脹"	"dilate"	"チョウ, choo"
"腐"	"rot"	"フ, fu"
"腕"	"arm"	"ワン, wan"
"腰"	"loins"	"ヨウ, yoo"
"腸"	"intestines"	"チョウ, choo"
"腹"	"abdomen"	"フク, fuku"
"膚"	"skin"	"フ, fu"
"膜"	"membrane"	"マク, maku"
"膨"	"swell"	"ボウ, boo"
"臓"	"entrails"	"ゾウ, zoo"
"臣"	"retainer"	"シン, ジン, shin, jin"
"臨"	"look to"	"リン, rin"
"自"	"oneself"	"ジ, シ, ji, shi"
"臭"	"stinking"	"シュウ, shuu"
"至"	"climax"	"シ, shi"
"致"	"doth"	"チ, chi"
"興"	"entertain"	"コウ, キョウ, koo, kyoo"
"舌"	"tongue"	"ゼツ, zetsu"
"舎"	"cottage"	"シャ, sha"
"舗"	"pavement"	"ホ, ho"
"舞"	"dance"	"ブ, bu"
"舟"	"boat"	"シュウ, shuu"
"航"	"cruise"	"コウ, koo"
"般"	"generally"	"ハン, han"
"舶"	"liner"	"ハク, haku"
"船"	"boat"	"セン, sen"
"艇"	"rowboat"	"テイ, tee"
"艦"	"warship"	"カン, kan"
"良"	"good"	"リョウ, ryoo"
"色"	"color"	"ショク, シキ, shoku, shiki"
"芋"	"potato"	"u"
"芝"	"lawn"	"shi"
"花"	"flower"	"カ, ka"
"芳"	"perfume"	"ホウ, hoo"
"芸"	"art"	"ゲイ, gee"
"芽"	"bud"	"ガ, ga"
"苗"	"seedling"	"ビョウ, byoo"
"若"	"young"	"ジャク, ニャク, jaku, nyaku"
"苦"	"suffer"	"ク, ku"
"英"	"England"	"エイ, ee"
"茂"	"luxuriant"	"モ, mo"
"茎"	"stalk"	"ケイ, kee"
"茶"	"tea"	"チャ, サ, cha, sa"
"草"	"grass"	"ソウ, soo"
"荒"	"laid waste"	"コウ, koo"
"荘"	"villa"	"ソウ, soo"
"荷"	"luggage"	"カ, ka"
"菊"	"chrysanthemum"	"キク, kiku"
"菌"	"germ"	"キン, kin"
"菓"	"confectionery"	"カ, ka"
"菜"	"vegetable"	"サイ, sai"
"華"	"splendor"	"カ, ケ, ka, ke"
"落"	"fall"	"ラク, raku"
"葉"	"leaf"	"ヨウ, yoo"
"著"	"renowned"	"チョ, cho"
"葬"	"interment"	"ソウ, soo"
"蒸"	"steam"	"ジョウ, joo"
"蓄"	"amass"	"チク, chiku"
"蔵"	"warehouse"	"ゾウ, zoo"
"薄"	"dilute"	"ハク, haku"
"薦"	"recommend"	"セン, sen"
"薪"	"fuel"	"シン, shin"
"薫"	"fragrant"	"クン, kun"
"薬"	"medicine"	"ヤク, yaku"
"藩"	"clan"	"ハン, han"
"藻"	"seaweed"	"ソウ, soo"
"虐"	"tyrannize"	"ギャク, gyaku"
"虚"	"void"	"キョ, コ, kyo, ko"
"虜"	"captive"	"リョ, ryo"
"虞"	"uneasiness"	
"虫"	"insect"	"チュウ, chuu"
"蚊"	"mosquito"	
"蚕"	"silkworm"	"サン, san"
"蛇"	"snake"	"ジャ, ダ, ja, da"
"蛍"	"lightning-bug"	"ケイ, kee"
"蛮"	"barbarian"	"バン, ban"
"融"	"dissolve"	"ユウ, yuu"
"血"	"blood"	"ケツ, ketsu"
"衆"	"masses"	"シュウ, シュ, shuu, shu"
"行"	"go"	"コウ, ギョウ, アン, koo, gyoo, an"
"術"	"art"	"ジュツ, jutsu"
"街"	"street"	"ガイ, カイ, gai, kai"
"衛"	"defense"	"エイ, ee"
"衝"	"collide"	"ショウ, shoo"
"衡"	"equilibrium"	"コウ, koo"
"衣"	"clothes"	"イ, i"
"表"	"express"	"ヒョウ, hyoo"
"衰"	"decline"	"スイ, sui"
"衷"	"inmost"	"チュウ, chuu"
"袋"	"sack"	"タイ, tai"
"被"	"incur"	"ヒ, hi"
"裁"	"judge"	"サイ, sai"
"裂"	"split"	"レツ, retsu"
"装"	"attire"	"ソウ, ショウ, soo, shoo"
"裏"	"back"	"リ, ri"
"裕"	"abundant"	"ユウ, yuu"
"補"	"supplement"	"ホ, ho"
"裸"	"naked"	"ラ, ra"
"製"	"manufacture"	"セイ, see"
"複"	"duplicate"	"フク, fuku"
"褐"	"brown"	"カツ, katsu"
"褒"	"praise"	"ホウ, hoo"
"襟"	"collar"	"キン, kin"
"襲"	"attack"	"シュウ, shuu"
"西"	"west"	"セイ, サイ, see, sai"
"要"	"need"	"ヨウ, yoo"
"覆"	"capsize"	"フク, fuku"
"覇"	"hegemony"	"ハ, ha"
"見"	"see"	"ケン, ken"
"規"	"rule"	"キ, ki"
"視"	"look at"	"シ, shi"
"覚"	"memorize"	"カク, kaku"
"覧"	"perusal"	"ラン, ran"
"親"	"parent"	"シン, shin"
"観"	"observe"	"カン, kan"
"角"	"angle"	"カク, kaku"
"解"	"untie"	"カイ, ゲ, kai, ge"
"触"	"contact"	"ショク, shoku"
"言"	"say"	"ゲン, ゴン, gen, gon"
"訂"	"revise"	"テイ, tee"
"計"	"measure"	"ケイ, kee"
"討"	"chastise"	"トウ, too"
"訓"	"instruction"	"クン, kun"
"託"	"consign"	"タク, taku"
"記"	"write down"	"キ, ki"
"訟"	"sue"	"ショウ, shoo"
"訪"	"visit"	"ホウ, hoo"
"設"	"establish"	"セツ, setsu"
"許"	"permit"	"キョ, kyo"
"訳"	"translate"	"ヤク, yaku"
"訴"	"sue"	"ソ, so"
"診"	"checkup"	"シン, shin"
"証"	"evidence"	"ショウ, shoo"
"詐"	"lie"	"サ, sa"
"詔"	"imperial edict"	"ショウ, shoo"
"評"	"evaluate"	"ヒョウ, hyoo"
"詞"	"poetry"	"シ, shi"
"詠"	"recitation"	"エイ, ee"
"試"	"test"	"シ, shi"
"詩"	"poem"	"シ, shi"
"詰"	"packed"	"キツ, kitsu"
"話"	"talk"	"ワ, wa"
"該"	"above-stated"	"ガイ, gai"
"詳"	"detailed"	"ショウ, shoo"
"誇"	"boast"	"コ, ko"
"誉"	"reputation"	"ヨ, yo"
"誌"	"document"	"シ, shi"
"認"	"recognize"	"ニン, nin"
"誓"	"vow"	"セイ, see"
"誕"	"nativity"	"タン, tan"
"誘"	"entice"	"ユウ, yuu"
"語"	"language"	"ゴ, go"
"誠"	"sincerity"	"セイ, see"
"誤"	"mistake"	"ゴ, go"
"説"	"theory"	"セツ, ゼイ, setsu, zee"
"読"	"read"	"ドク, トク, トウ, doku, toku, too"
"課"	"section"	"カ, ka"
"調"	"investigate"	"チョウ, choo"
"談"	"discuss"	"ダン, dan"
"請"	"solicit"	"セイ, シン, see, shin"
"論"	"theory"	"ロン, ron"
"諭"	"rebuke"	"ユ, yu"
"諮"	"consult"	"シ, shi"
"諸"	"various"	"ショ, sho"
"諾"	"consent"	"ダク, daku"
"謀"	"conspire"	"ボウ, ム, boo, mu"
"謁"	"audience"	"エツ, etsu"
"謄"	"mimeograph"	"トウ, too"
"謙"	"self-effacing"	"ケン, ken"
"講"	"lecture"	"コウ, koo"
"謝"	"apologize"	"シャ, sha"
"謡"	"chant"	"ヨウ, yoo"
"謹"	"discreet"	"キン, kin"
"識"	"discriminating"	"シキ, shiki"
"譜"	"musical score"	"フ, fu"
"警"	"guard against"	"ケイ, kee"
"議"	"deliberation"	"ギ, gi"
"譲"	"defer"	"ジョウ, joo"
"護"	"safeguard"	"ゴ, go"
"谷"	"valley"	"コク, koku"
"豆"	"beans"	"トウ, ズ, too, zu"
"豊"	"bountiful"	"ホウ, hoo"
"豚"	"pork"	"トン, ton"
"象"	"elephant"	"ショウ, ゾウ, shoo, zoo"
"豪"	"overpowering"	"ゴウ, goo"
"貝"	"shellfish"	
"貞"	"upright"	"テイ, tee"
"負"	"lose"	"フ, fu"
"財"	"wealth"	"ザイ, サイ, zai, sai"
"貢"	"tribute"	"コウ, ク, koo, ku"
"貧"	"poor"	"ヒン, ビン, hin, bin"
"貨"	"freight"	"カ, ka"
"販"	"marketing"	"ハン, han"
"貫"	"pierce"	"カン, kan"
"責"	"blame"	"セキ, seki"
"貯"	"savings"	"チョ, cho"
"貴"	"precious"	"キ, ki"
"買"	"buy"	"バイ, bai"
"貸"	"lend"	"タイ, tai"
"費"	"expense"	"ヒ, hi"
"貿"	"trade"	"ボウ, boo"
"賀"	"congratulations"	"ガ, ga"
"賃"	"fare"	"チン, chin"
"賄"	"bribe"	"ワイ, wai"
"資"	"resources"	"シ, shi"
"賊"	"burglar"	"ゾク, zoku"
"賓"	"VIP"	"ヒン, hin"
"賛"	"approve"	"サン, san"
"賜"	"grant"	"シ, shi"
"賞"	"prize"	"ショウ, shoo"
"賠"	"compensation"	"バイ, bai"
"賢"	"intelligent"	"ケン, ken"
"賦"	"levy"	"フ, fu"
"質"	"quality"	"シツ, シチ, チ, shitsu, shichi, chi"
"購"	"subscription"	"コウ, koo"
"贈"	"presents"	"ゾウ, ソウ, zoo, soo"
"赤"	"red"	"セキ, シャク, seki, shaku"
"赦"	"pardon"	"シャ, sha"
"走"	"run"	"ソウ, soo"
"赴"	"proceed"	"フ, fu"
"起"	"wake up"	"キ, ki"
"超"	"transcend"	"チョウ, choo"
"越"	"cross over"	"エツ, etsu"
"趣"	"gist"	"シュ, shu"
"足"	"foot"	"ソク, soku"
"距"	"long-distance"	"キョ, kyo"
"跡"	"tracks"	"セキ, seki"
"路"	"road"	"ロ, ro"
"跳"	"hop"	"チョウ, choo"
"践"	"tread"	"セン, sen"
"踊"	"jump"	"ヨウ, yoo"
"踏"	"step"	"トウ, too"
"躍"	"leap"	"ヤク, yaku"
"身"	"body"	"シン, shin"
"車"	"car"	"シャ, sha"
"軌"	"rut"	"キ, ki"
"軍"	"army"	"グン, gun"
"軒"	"flats"	"ケン, ken"
"軟"	"soft"	"ナン, nan"
"転"	"revolve"	"テン, ten"
"軸"	"axis"	"ジク, jiku"
"軽"	"light"	"ケイ, kee"
"較"	"contrast"	"カク, kaku"
"載"	"ride"	"サイ, sai"
"輝"	"radiance"	"キ, ki"
"輩"	"comrade"	"ハイ, hai"
"輪"	"wheel"	"リン, rin"
"輸"	"transport"	"ユ, yu"
"轄"	"control"	"カツ, katsu"
"辛"	"spicy"	"シン, shin"
"辞"	"resign"	"ジ, ji"
"辱"	"embarrass"	"ジョク, joku"
"農"	"farming"	"ノウ, noo"
"辺"	"environs"	"ヘン, hen"
"込"	"crowded"	
"迅"	"swift"	"ジン, jin"
"迎"	"welcome"	"ゲイ, gee"
"近"	"near"	"キン, kin"
"返"	"return"	"ヘン, hen"
"迫"	"urge"	"ハク, haku"
"迭"	"transfer"	"テツ, tetsu"
"述"	"mention"	"ジュツ, jutsu"
"迷"	"astray"	"メイ, mee"
"追"	"follow"	"ツイ, tsui"
"退"	"retreat"	"タイ, tai"
"送"	"send"	"ソウ, soo"
"逃"	"escape"	"トウ, too"
"逆"	"inverted"	"ギャク, gyaku"
"透"	"transparent"	"トウ, too"
"逐"	"pursue"	"チク, chiku"
"逓"	"relay"	"テイ, tee"
"途"	"route"	"ト, to"
"通"	"pass through"	"ツウ, ツ, tsuu, tsu"
"逝"	"departed"	"セイ, see"
"速"	"fast"	"ソク, soku"
"造"	"create"	"ゾウ, zoo"
"連"	"take along"	"レン, ren"
"逮"	"apprehend"	"タイ, tai"
"週"	"week"	"シュウ, shuu"
"進"	"advance"	"シン, shin"
"逸"	"deviate"	"イツ, itsu"
"遂"	"consummate"	"スイ, sui"
"遅"	"slow"	"チ, chi"
"遇"	"interview"	"グウ, guu"
"遊"	"play"	"ユウ, ユ, yuu, yu"
"運"	"carry"	"ウン, un"
"遍"	"everywhere"	"ヘン, hen"
"過"	"go beyond"	"カ, ka"
"道"	"road"	"ドウ, トウ, doo, too"
"達"	"attain"	"タツ, tatsu"
"違"	"differ"	"イ, i"
"遠"	"far"	"エン, オン, en, on"
"遣"	"dispatch"	"ケン, ken"
"適"	"suitable"	"テキ, teki"
"遭"	"encounter"	"ソウ, soo"
"遮"	"intercept"	"シャ, sha"
"遵"	"abide by"	"ジュン, jun"
"遷"	"transition"	"セン, sen"
"選"	"choose"	"セン, sen"
"遺"	"bequeath"	"イ, ユイ, i, yui"
"避"	"evade"	"ヒ, hi"
"還"	"send back"	"カン, kan"
"邦"	"homeland"	"ホウ, hoo"
"邪"	"wicked"	"ジャ, ja"
"邸"	"residence"	"テイ, tee"
"郊"	"outskirts"	"コウ, koo"
"郎"	"son"	"ロウ, roo"
"郡"	"county"	"グン, gun"
"部"	"part"	"ブ, bu"
"郭"	"enclosure"	"カク, kaku"
"郵"	"mail"	"ユウ, yuu"
"郷"	"hometown"	"キョウ, ゴウ, kyoo, goo"
"都"	"metropolis"	"ト, ツ, to, tsu"
"酌"	"bartending"	"シャク, shaku"
"配"	"distribute"	"ハイ, hai"
"酒"	"alcohol"	"シュ, shu"
"酔"	"drunk"	"スイ, sui"
"酢"	"vinegar"	"サク, saku"
"酪"	"dairy products"	"ラク, raku"
"酬"	"repay"	"シュウ, shuu"
"酵"	"fermentation"	"コウ, koo"
"酷"	"cruel"	"コク, koku"
"酸"	"acid"	"サン, san"
"醜"	"ugly"	"シュウ, shuu"
"醸"	"brew"	"ジョウ, joo"
"釈"	"explanation"	"シャク, shaku"
"里"	"village"	"リ, ri"
"重"	"heavy"	"ジュウ, チョウ, juu, choo"
"野"	"field"	"ヤ, ya"
"量"	"quantity"	"リョウ, ryoo"
"金"	"gold"	"キン, コン, kin, kon"
"針"	"needle"	"シン, shin"
"釣"	"angling"	"チョウ, choo"
"鈍"	"dull"	"ドン, don"
"鈴"	"small bell"	"レイ, リン, ree, rin"
"鉄"	"iron"	"テツ, tetsu"
"鉛"	"lead"	"エン, en"
"鉢"	"bowl"	"ハチ, ハツ, hachi, hatsu"
"鉱"	"mineral"	"コウ, koo"
"銀"	"silver"	"ギン, gin"
"銃"	"gun"	"ジュウ, juu"
"銅"	"copper"	"ドウ, doo"
"銑"	"pig iron"	"セン, sen"
"銘"	"inscription"	"メイ, mee"
"銭"	"coin"	"セン, sen"
"鋭"	"pointed"	"エイ, ee"
"鋳"	"casting"	"チュウ, chuu"
"鋼"	"steel"	"コウ, koo"
"錘"	"plumb"	"スイ, sui"
"錠"	"lock"	"ジョウ, joo"
"錬"	"tempering"	"レン, ren"
"錯"	"confused"	"サク, saku"
"録"	"record"	"ロク, roku"
"鍛"	"forge"	"タン, tan"
"鎖"	"chain"	"サ, sa"
"鎮"	"tranquilize"	"チン, chin"
"鏡"	"mirror"	"キョウ, kyoo"
"鐘"	"bell"	"ショウ, shoo"
"鑑"	"specimen"	"カン, kan"
"長"	"long"	"チョウ, choo"
"門"	"gates"	"モン, mon"
"閉"	"closed"	"ヘイ, hee"
"開"	"open"	"カイ, kai"
"閑"	"leisure"	"カン, kan"
"間"	"interval"	"カン, ケン, kan, ken"
"関"	"related"	"カン, kan"
"閣"	"tall"	"カク, kaku"
"閥"	"clique"	"バツ, batsu"
"閲"	"review"	"エツ, etsu"
"闘"	"fight"	"トウ, too"
"防"	"prevent"	"ボウ, boo"
"阻"	"thwart"	"ソ, so"
"附"	"affixed"	"フ, fu"
"降"	"descend"	"コウ, koo"
"限"	"limit"	"ゲン, gen"
"陛"	"highness"	"ヘイ, hee"
"院"	"institution"	"イン, in"
"陣"	"camp"	"ジン, jin"
"除"	"exclude"	"ジョ, ジ, jo, ji"
"陥"	"collapse"	"カン, kan"
"陪"	"obeisance"	"バイ, bai"
"陰"	"shade"	"イン, in"
"陳"	"exhibit"	"チン, chin"
"陵"	"mausoleum"	"リョウ, ryoo"
"陶"	"pottery"	"トウ, too"
"陸"	"land"	"リク, riku"
"険"	"precipitous"	"ケン, ken"
"陽"	"sunshine"	"ヨウ, yoo"
"隅"	"corner"	"グウ, guu"
"隆"	"hump"	"リュウ, ryuu"
"隊"	"group"	"タイ, tai"
"階"	"floor"	"カイ, kai"
"随"	"follow"	"ズイ, zui"
"隔"	"isolate"	"カク, kaku"
"際"	"occasion"	"サイ, sai"
"障"	"hurt"	"ショウ, shoo"
"隠"	"conceal"	"イン, in"
"隣"	"neighboring"	"リン, rin"
"隷"	"slave"	"レイ, ree"
"隻"	"vessels"	"セキ, seki"
"雄"	"male"	"ユウ, yuu"
"雅"	"gracious"	"ガ, ga"
"集"	"collect"	"シュウ, shuu"
"雇"	"employ"	"コ, ko"
"雌"	"feminine"	"シ, shi"
"雑"	"miscellaneous"	"ザツ, ゾウ, zatsu, zoo"
"離"	"detach"	"リ, ri"
"難"	"difficult"	"ナン, nan"
"雨"	"rain"	"ウ, u"
"雪"	"snow"	"セツ, setsu"
"雰"	"atmosphere"	"フン, fun"
"雲"	"cloud"	"ウン, un"
"零"	"zero"	"レイ, ree"
"雷"	"thunder"	"ライ, rai"
"電"	"electricity"	"デン, den"
"需"	"demand"	"ジュ, ju"
"震"	"quake"	"シン, shin"
"霊"	"spirits"	"レイ, リョウ, ree, ryoo"
"霜"	"frost"	"ソウ, soo"
"霧"	"fog"	"ム, mu"
"露"	"dew"	"ロ, ロウ, ro, roo"
"青"	"blue"	"セイ, ショウ, see, shoo"
"静"	"quiet"	"セイ, ジョウ, see, joo"
"非"	"negative"	"ヒ, hi"
"面"	"face"	"メン, men, mo"
"革"	"leather"	"カク, kaku"
"靴"	"shoes"	"カ, ka"
"音"	"sound"	"オン, イン, on, in"
"韻"	"rhyme"	"イン, in"
"響"	"echo"	"キョウ, kyoo"
"頂"	"summit"	"チョウ, choo"
"項"	"paragraph"	"コウ, koo"
"順"	"obey"	"ジュン, jun"
"預"	"deposit"	"ヨ, yo"
"頑"	"stubborn"	"ガン, gan"
"頒"	"partition"	"ハン, han"
"領"	"territory"	"リョウ, ryoo"
"頭"	"head"	"トウ, ズ, ト, too, zu, to"
"頻"	"repeatedly"	"ヒン, hin"
"頼"	"trust"	"ライ, rai"
"題"	"topic"	"ダイ, dai"
"額"	"amount"	"ガク, gaku"
"顔"	"face"	"ガン, gan"
"顕"	"appear"	"ケン, ken"
"願"	"request"	"ガン, gan"
"類"	"sort"	"ルイ, rui"
"顧"	"look back"	"コ, ko"
"風"	"wind"	"フウ, フ, fuu, fu"
"飛"	"fly"	"ヒ, hi"
"食"	"eat, meal"	"ショク, ジキ, shoku, jiki"
"飢"	"hungry"	"キ, ki"
"飯"	"meal"	"ハン, han"
"飲"	"drink"	"イン, in"
"飼"	"domesticate"	"シ, shi"
"飽"	"sated"	"ホウ, hoo"
"飾"	"decorate"	"ショク, shoku"
"養"	"foster"	"ヨウ, yoo"
"餓"	"starve"	"ガ, ga"
"館"	"public building"	"カン, kan"
"首"	"neck"	"シュ, shu"
"香"	"incense"	"コウ, キョウ, koo, kyoo"
"馬"	"horse"	"バ, ba"
"駄"	"burdensome"	"ダ, da"
"駅"	"station"	"エキ, eki"
"駆"	"drive"	"ク, ku"
"駐"	"stop-over"	"チュウ, chuu"
"騎"	"equestrian"	"キ, ki"
"騒"	"boisterous"	"ソウ, soo"
"験"	"test"	"ケン, ゲン, ken, gen"
"騰"	"inflation"	"トウ, too"
"驚"	"wonder"	"キョウ, kyoo"
"骨"	"bone"	"コツ, kotsu"
"髄"	"marrow"	"ズイ, zui"
"高"	"tall, expensive"	"コウ, koo"
"髪"	"hair"	"ハツ, hatsu"
"鬼"	"ghost"	"キ, ki"
"魂"	"soul"	"コン, kon"
"魅"	"fascination"	"ミ, mi"
"魔"	"witch"	"マ, ma"
"魚"	"fish"	"ギョ, gyo"
"鮮"	"fresh"	"セン, sen"
"鯨"	"whale"	"ゲイ, gee"
"鳥"	"bird"	"チョウ, choo"
"鳴"	"chirp"	"メイ, mee"
"鶏"	"chicken"	"ケイ, kee"
"麗"	"lovely"	"レイ, ree"
"麦"	"wheat"	"バク, baku"
"麻"	"hemp"	"マ, ma"
"黄"	"yellow"	"コウ, オウ, koo, oo"
"黒"	"black"	"コク, koku"
"黙"	"silence"	"モク, moku"
"鼓"	"drum"	"コ, ko"
"鼻"	"nose"	"ビ, bi"
"齢"	"age"	"レイ, ree"
"拳"	"fist"	"ケン, ken"
"嵐"	"storm"	"ラン, ran"
"彪"	"small tiger"	"hyuu"
"虎"	"tiger"	"ko"
"唖"	"mute"	"a"
"阿"	"flattery"	"a"
"琉"	"lapis lazuli"	"ryuu, ru"
